date,Team_1,Team_2,Winner,Margin,Ground
"Jan 1, 2014",New Zealand,West Indies,New Zealand,159 runs,Queenstown
"Jan 4, 2014",New Zealand,West Indies,New Zealand,58 runs,Nelson
"Jan 8, 2014",New Zealand,West Indies,West Indies,203 runs,Hamilton
"Jan 12, 2014",Australia,England,Australia,6 wickets,Melbourne
"Jan 17, 2014",Australia,England,Australia,1 wicket,Brisbane
"Jan 19, 2014",New Zealand,India,New Zealand,24 runs,Napier
"Jan 19, 2014",Australia,England,Australia,7 wickets,Sydney
"Jan 22, 2014",New Zealand,India,New Zealand,15 runs,Hamilton
"Jan 23, 2014",Canada,Scotland,Scotland,170 runs,Christchurch
"Jan 23, 2014",Kenya,Netherlands,Kenya,4 wickets,Lincoln
"Jan 24, 2014",Australia,England,England,57 runs,Perth
"Jan 25, 2014",New Zealand,India,tied,-,Auckland
"Jan 26, 2014",Australia,England,Australia,5 runs,Adelaide
"Jan 28, 2014",Canada,Netherlands,Netherlands,8 wickets,Mount Maunganui
"Jan 28, 2014",New Zealand,India,New Zealand,7 wickets,Hamilton
"Jan 30, 2014",Kenya,Scotland,Scotland,3 wickets,Christchurch
"Jan 31, 2014",New Zealand,India,New Zealand,87 runs,Wellington
"Feb 1, 2014",Scotland,U.A.E.,Scotland,41 runs,Lincoln
"Feb 17, 2014",Bangladesh,Sri Lanka,Sri Lanka,13 runs,Mirpur
"Feb 20, 2014",Bangladesh,Sri Lanka,Sri Lanka,61 runs,Mirpur
"Feb 22, 2014",Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Mirpur
"Feb 23, 2014",West Indies,Ireland,West Indies,4 wickets,Kingston
"Feb 25, 2014",Pakistan,Sri Lanka,Sri Lanka,12 runs,Fatullah
"Feb 26, 2014",Bangladesh,India,India,6 wickets,Fatullah
"Feb 27, 2014",Afghanistan,Pakistan,Pakistan,72 runs,Fatullah
"Feb 28, 2014",India,Sri Lanka,Sri Lanka,2 wickets,Fatullah
"Feb 28, 2014",West Indies,England,West Indies,15 runs,North Sound
"Mar 1, 2014",Bangladesh,Afghanistan,Afghanistan,32 runs,Fatullah
"Mar 2, 2014",India,Pakistan,Pakistan,1 wicket,Mirpur
"Mar 2, 2014",West Indies,England,England,3 wickets,North Sound
"Mar 3, 2014",Afghanistan,Sri Lanka,Sri Lanka,129 runs,Mirpur
"Mar 4, 2014",Bangladesh,Pakistan,Pakistan,3 wickets,Mirpur
"Mar 5, 2014",Afghanistan,India,India,8 wickets,Mirpur
"Mar 5, 2014",West Indies,England,England,25 runs,North Sound
"Mar 6, 2014",Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Mirpur
"Mar 8, 2014",Pakistan,Sri Lanka,Sri Lanka,5 wickets,Mirpur
"May 1, 2014",Afghanistan,Hong Kong,Afghanistan,6 wickets,Kuala Lumpur
"May 2, 2014",Afghanistan,U.A.E.,Afghanistan,70 runs,Kuala Lumpur
"May 4, 2014",Hong Kong,U.A.E.,U.A.E.,2 wickets,Kuala Lumpur
"May 6, 2014",Ireland,Sri Lanka,Sri Lanka,79 runs,Dublin
"May 9, 2014",Scotland,England,England,39 runs,Aberdeen
"May 22, 2014",England,Sri Lanka,England,81 runs,The Oval
"May 25, 2014",England,Sri Lanka,Sri Lanka,157 runs,Chester-le-Street
"May 28, 2014",England,Sri Lanka,England,10 wickets,Manchester
"May 31, 2014",England,Sri Lanka,Sri Lanka,7 runs,Lord's
"Jun 3, 2014",England,Sri Lanka,Sri Lanka,6 wickets,Birmingham
"Jun 15, 2014",Bangladesh,India,India,7 wickets,Mirpur
"Jun 17, 2014",Bangladesh,India,India,47 runs,Mirpur
"Jun 19, 2014",Bangladesh,India,no result,-,Mirpur
"Jul 6, 2014",Sri Lanka,South Africa,South Africa,75 runs,Colombo (RPS)
"Jul 9, 2014",Sri Lanka,South Africa,Sri Lanka,87 runs,Pallekele
"Jul 12, 2014",Sri Lanka,South Africa,South Africa,82 runs,Hambantota
"Jul 18, 2014",Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo
"Jul 20, 2014",Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo
"Jul 22, 2014",Zimbabwe,Afghanistan,Afghanistan,2 wickets,Bulawayo
"Jul 24, 2014",Zimbabwe,Afghanistan,Afghanistan,100 runs,Bulawayo
"Aug 17, 2014",Zimbabwe,South Africa,South Africa,93 runs,Bulawayo
"Aug 19, 2014",Zimbabwe,South Africa,South Africa,61 runs,Bulawayo
"Aug 20, 2014",West Indies,Bangladesh,West Indies,3 wickets,St George's
"Aug 21, 2014",Zimbabwe,South Africa,South Africa,7 wickets,Bulawayo
"Aug 22, 2014",West Indies,Bangladesh,West Indies,177 runs,St George's
"Aug 23, 2014",Sri Lanka,Pakistan,Pakistan,4 wickets,Hambantota
"Aug 25, 2014",Zimbabwe,Australia,Australia,198 runs,Harare
"Aug 25, 2014",West Indies,Bangladesh,West Indies,91 runs,Basseterre
"Aug 26, 2014",Sri Lanka,Pakistan,Sri Lanka,77 runs,Hambantota
"Aug 27, 2014",Australia,South Africa,South Africa,7 wickets,Harare
"Aug 27, 2014",England,India,India,133 runs,Cardiff
"Aug 29, 2014",Zimbabwe,South Africa,South Africa,61 runs,Harare
"Aug 30, 2014",Sri Lanka,Pakistan,Sri Lanka,7 wickets,Dambulla
"Aug 30, 2014",England,India,India,6 wickets,Nottingham
"Aug 31, 2014",Zimbabwe,Australia,Zimbabwe,3 wickets,Harare
"Sep 2, 2014",Australia,South Africa,Australia,62 runs,Harare
"Sep 2, 2014",England,India,India,9 wickets,Birmingham
"Sep 4, 2014",Zimbabwe,South Africa,South Africa,63 runs,Harare
"Sep 5, 2014",England,India,England,41 runs,Leeds
"Sep 6, 2014",Australia,South Africa,South Africa,6 wickets,Harare
"Sep 8, 2014",Ireland,Scotland,Ireland,7 wickets,Dublin (Malahide)
"Sep 10, 2014",Ireland,Scotland,Ireland,3 wickets,Dublin (Malahide)
"Sep 12, 2014",Ireland,Scotland,Scotland,8 wickets,Dublin (Malahide)
"Oct 7, 2014",Australia,Pakistan,Australia,93 runs,Sharjah
"Oct 8, 2014",India,West Indies,West Indies,124 runs,Kochi
"Oct 10, 2014",Australia,Pakistan,Australia,5 wickets,Dubai (DSC)
"Oct 11, 2014",India,West Indies,India,48 runs,Delhi
"Oct 12, 2014",Australia,Pakistan,Australia,1 run,Abu Dhabi
"Oct 17, 2014",India,West Indies,India,59 runs,Dharamsala
"Oct 21, 2014",New Zealand,South Africa,South Africa,6 wickets,Mount Maunganui
"Oct 24, 2014",New Zealand,South Africa,South Africa,72 runs,Mount Maunganui
"Oct 27, 2014",New Zealand,South Africa,no result,-,Hamilton
"Nov 2, 2014",India,Sri Lanka,India,169 runs,Cuttack
"Nov 6, 2014",India,Sri Lanka,India,6 wickets,Ahmedabad
"Nov 8, 2014",Hong Kong,P.N.G.,P.N.G.,4 wickets,Townsville
"Nov 9, 2014",Hong Kong,P.N.G.,P.N.G.,3 wickets,Townsville
"Nov 9, 2014",India,Sri Lanka,India,6 wickets,Hyderabad
"Nov 13, 2014",India,Sri Lanka,India,153 runs,Eden Gardens
"Nov 14, 2014",Australia,South Africa,Australia,32 runs,Perth
"Nov 16, 2014",Australia,South Africa,South Africa,3 wickets,Perth
"Nov 16, 2014",India,Sri Lanka,India,3 wickets,Ranchi
"Nov 19, 2014",Australia,South Africa,Australia,73 runs,Canberra
"Nov 21, 2014",Australia,South Africa,Australia,3 wickets,Melbourne
"Nov 21, 2014",Bangladesh,Zimbabwe,Bangladesh,87 runs,Chattogram
"Nov 23, 2014",Australia,South Africa,Australia,2 wickets,Sydney
"Nov 23, 2014",Bangladesh,Zimbabwe,Bangladesh,68 runs,Chattogram
"Nov 26, 2014",Bangladesh,Zimbabwe,Bangladesh,124 runs,Mirpur
"Nov 26, 2014",Sri Lanka,England,Sri Lanka,25 runs,Colombo (RPS)
"Nov 28, 2014",Bangladesh,Zimbabwe,Bangladesh,21 runs,Mirpur
"Nov 28, 2014",U.A.E.,Afghanistan,U.A.E.,5 wickets,ICCA Dubai
"Nov 29, 2014",Sri Lanka,England,Sri Lanka,8 wickets,Colombo (RPS)
"Nov 30, 2014",U.A.E.,Afghanistan,U.A.E.,6 wickets,ICCA Dubai
"Dec 1, 2014",Bangladesh,Zimbabwe,Bangladesh,5 wickets,Mirpur
"Dec 2, 2014",U.A.E.,Afghanistan,Afghanistan,2 wickets,ICCA Dubai
"Dec 3, 2014",Sri Lanka,England,England,5 wickets,Hambantota
"Dec 4, 2014",U.A.E.,Afghanistan,U.A.E.,30 runs,ICCA Dubai
"Dec 7, 2014",Sri Lanka,England,Sri Lanka,6 wickets,Colombo (RPS)
"Dec 8, 2014",New Zealand,Pakistan,Pakistan,3 wickets,Dubai (DSC)
"Dec 10-11, 2014",Sri Lanka,England,England,5 wickets,Pallekele
"Dec 12, 2014",New Zealand,Pakistan,New Zealand,4 wickets,Sharjah
"Dec 13, 2014",Sri Lanka,England,Sri Lanka,90 runs,Pallekele
"Dec 14, 2014",New Zealand,Pakistan,Pakistan,147 runs,Sharjah
"Dec 16, 2014",Sri Lanka,England,Sri Lanka,87 runs,Colombo (RPS)
"Dec 17, 2014",New Zealand,Pakistan,New Zealand,7 runs,Abu Dhabi
"Dec 19, 2014",New Zealand,Pakistan,New Zealand,68 runs,Abu Dhabi
"Jan 8, 2015",Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai
"Jan 10, 2015",Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC)
"Jan 11, 2015",New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch
"Jan 12, 2015",Ireland,Scotland,Ireland,3 wickets,Dubai (DSC)
"Jan 14, 2015",Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi
"Jan 15, 2015",New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton
"Jan 16, 2015",Australia,England,Australia,3 wickets,Sydney
"Jan 16, 2015",South Africa,West Indies,South Africa,61 runs,Durban
"Jan 17, 2015",New Zealand,Sri Lanka,no result,-,Auckland
"Jan 17, 2015",Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC)
"Jan 18, 2015",Australia,India,Australia,4 wickets,Melbourne
"Jan 18, 2015",South Africa,West Indies,South Africa,148 runs,Johannesburg
"Jan 19, 2015",Ireland,Scotland,no result,-,ICCA Dubai
"Jan 20, 2015",New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson
"Jan 20, 2015",England,India,England,9 wickets,Brisbane
"Jan 21, 2015",South Africa,West Indies,South Africa,9 wickets,East London
"Jan 23, 2015",New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin
"Jan 23, 2015",Australia,England,Australia,3 wickets,Hobart
"Jan 25, 2015",New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin
"Jan 25, 2015",South Africa,West Indies,West Indies,1 wicket,Gqeberha
"Jan 26, 2015",Australia,India,no result,-,Sydney
"Jan 28, 2015",South Africa,West Indies,South Africa,131 runs,Centurion
"Jan 29, 2015",New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington
"Jan 30, 2015",England,India,England,3 wickets,Perth
"Jan 31, 2015",New Zealand,Pakistan,New Zealand,7 wickets,Wellington
"Feb 1, 2015",Australia,England,Australia,112 runs,Perth
"Feb 3, 2015",New Zealand,Pakistan,New Zealand,119 runs,Napier
"Feb 14, 2015",New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch
"Feb 14, 2015",Australia,England,Australia,111 runs,Melbourne
"Feb 15, 2015",South Africa,Zimbabwe,South Africa,62 runs,Hamilton
"Feb 15, 2015",India,Pakistan,India,76 runs,Adelaide
"Feb 16, 2015",Ireland,West Indies,Ireland,4 wickets,Nelson
"Feb 17, 2015",New Zealand,Scotland,New Zealand,3 wickets,Dunedin
"Feb 18, 2015",Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra
"Feb 19, 2015",U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson
"Feb 20, 2015",New Zealand,England,New Zealand,8 wickets,Wellington
"Feb 21, 2015",Pakistan,West Indies,West Indies,150 runs,Christchurch
"Feb 22, 2015",Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin
"Feb 22, 2015",India,South Africa,India,130 runs,Melbourne
"Feb 23, 2015",England,Scotland,England,119 runs,Christchurch
"Feb 24, 2015",West Indies,Zimbabwe,West Indies,73 runs,Canberra
"Feb 25, 2015",Ireland,U.A.E.,Ireland,2 wickets,Brisbane
"Feb 26, 2015",Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin
"Feb 26, 2015",Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne
"Feb 27, 2015",South Africa,West Indies,South Africa,257 runs,Sydney
"Feb 28, 2015",New Zealand,Australia,New Zealand,1 wicket,Auckland
"Feb 28, 2015",India,U.A.E.,India,9 wickets,Perth
"Mar 1, 2015",England,Sri Lanka,Sri Lanka,9 wickets,Wellington
"Mar 1, 2015",Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane
"Mar 3, 2015",Ireland,South Africa,South Africa,201 runs,Canberra
"Mar 4, 2015",Pakistan,U.A.E.,Pakistan,129 runs,Napier
"Mar 4, 2015",Australia,Afghanistan,Australia,275 runs,Perth
"Mar 5, 2015",Bangladesh,Scotland,Bangladesh,6 wickets,Nelson
"Mar 6, 2015",India,West Indies,India,4 wickets,Perth
"Mar 7, 2015",Pakistan,South Africa,Pakistan,29 runs,Auckland
"Mar 7, 2015",Ireland,Zimbabwe,Ireland,5 runs,Hobart
"Mar 8, 2015",New Zealand,Afghanistan,New Zealand,6 wickets,Napier
"Mar 8, 2015",Australia,Sri Lanka,Australia,64 runs,Sydney
"Mar 9, 2015",Bangladesh,England,Bangladesh,15 runs,Adelaide
"Mar 10, 2015",India,Ireland,India,8 wickets,Hamilton
"Mar 11, 2015",Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart
"Mar 12, 2015",South Africa,U.A.E.,South Africa,146 runs,Wellington
"Mar 13, 2015",New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton
"Mar 13, 2015",Afghanistan,England,England,9 wickets,Sydney
"Mar 14, 2015",India,Zimbabwe,India,6 wickets,Auckland
"Mar 14, 2015",Australia,Scotland,Australia,7 wickets,Hobart
"Mar 15, 2015",U.A.E.,West Indies,West Indies,6 wickets,Napier
"Mar 15, 2015",Ireland,Pakistan,Pakistan,7 wickets,Adelaide
"Mar 18, 2015",South Africa,Sri Lanka,South Africa,9 wickets,Sydney
"Mar 19, 2015",Bangladesh,India,India,109 runs,Melbourne
"Mar 20, 2015",Australia,Pakistan,Australia,6 wickets,Adelaide
"Mar 21, 2015",New Zealand,West Indies,New Zealand,143 runs,Wellington
"Mar 24, 2015",New Zealand,South Africa,New Zealand,4 wickets,Auckland
"Mar 26, 2015",Australia,India,Australia,95 runs,Sydney
"Mar 29, 2015",Australia,New Zealand,Australia,7 wickets,Melbourne
"Apr 17, 2015",Bangladesh,Pakistan,Bangladesh,79 runs,Mirpur
"Apr 19, 2015",Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur
"Apr 22, 2015",Bangladesh,Pakistan,Bangladesh,8 wickets,Mirpur
"May 8, 2015",Ireland,England,no result,-,Dublin (Malahide)
"May 26, 2015",Pakistan,Zimbabwe,Pakistan,41 runs,Lahore
"May 29, 2015",Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore
"May 31, 2015",Pakistan,Zimbabwe,no result,-,Lahore
"Jun 9, 2015",England,New Zealand,England,210 runs,Birmingham
"Jun 12, 2015",England,New Zealand,New Zealand,13 runs,The Oval
"Jun 14, 2015",England,New Zealand,New Zealand,3 wickets,Southampton
"Jun 17, 2015",England,New Zealand,England,7 wickets,Nottingham
"Jun 18, 2015",Bangladesh,India,Bangladesh,79 runs,Mirpur
"Jun 20, 2015",England,New Zealand,England,3 wickets,Chester-le-Street
"Jun 21, 2015",Bangladesh,India,Bangladesh,6 wickets,Mirpur
"Jun 24, 2015",Bangladesh,India,India,77 runs,Mirpur
"Jul 10, 2015",Zimbabwe,India,India,4 runs,Harare
"Jul 10, 2015",Bangladesh,South Africa,South Africa,8 wickets,Mirpur
"Jul 11, 2015",Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla
"Jul 12, 2015",Zimbabwe,India,India,62 runs,Harare
"Jul 12, 2015",Bangladesh,South Africa,Bangladesh,7 wickets,Mirpur
"Jul 14, 2015",Zimbabwe,India,India,83 runs,Harare
"Jul 15, 2015",Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram
"Jul 15, 2015",Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele
"Jul 19, 2015",Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS)
"Jul 22, 2015",Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS)
"Jul 26, 2015",Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota
"Aug 2, 2015",Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare
"Aug 4, 2015",Zimbabwe,New Zealand,New Zealand,10 wickets,Harare
"Aug 7, 2015",Zimbabwe,New Zealand,New Zealand,38 runs,Harare
"Aug 19, 2015",South Africa,New Zealand,South Africa,20 runs,Centurion
"Aug 23, 2015",South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom
"Aug 26, 2015",South Africa,New Zealand,South Africa,62 runs,Durban
"Aug 27, 2015",Ireland,Australia,Australia,23 runs,Belfast
"Sep 3, 2015",England,Australia,Australia,59 runs,Southampton
"Sep 5, 2015",England,Australia,Australia,64 runs,Lord's
"Sep 8, 2015",England,Australia,England,93 runs,Manchester
"Sep 11, 2015",England,Australia,England,3 wickets,Leeds
"Sep 13, 2015",England,Australia,Australia,8 wickets,Manchester
"Oct 1, 2015",Zimbabwe,Pakistan,Pakistan,131 runs,Harare
"Oct 3, 2015",Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare
"Oct 5, 2015",Zimbabwe,Pakistan,Pakistan,7 wickets,Harare
"Oct 9, 2015",Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare
"Oct 11, 2015",India,South Africa,South Africa,5 runs,Kanpur
"Oct 11, 2015",Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare
"Oct 13, 2015",Zimbabwe,Ireland,Ireland,2 wickets,Harare
"Oct 14, 2015",India,South Africa,India,22 runs,Indore
"Oct 16, 2015",Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo
"Oct 18, 2015",Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo
"Oct 18, 2015",India,South Africa,South Africa,18 runs,Rajkot
"Oct 20, 2015",Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo
"Oct 22, 2015",Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo
"Oct 22, 2015",India,South Africa,India,35 runs,Chennai
"Oct 24, 2015",Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo
"Oct 25, 2015",India,South Africa,South Africa,214 runs,Wankhede
"Nov 1, 2015",Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS)
"Nov 4, 2015",Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS)
"Nov 7, 2015",Bangladesh,Zimbabwe,Bangladesh,145 runs,Mirpur
"Nov 7, 2015",Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele
"Nov 9, 2015",Bangladesh,Zimbabwe,Bangladesh,58 runs,Mirpur
"Nov 11, 2015",Bangladesh,Zimbabwe,Bangladesh,61 runs,Mirpur
"Nov 11, 2015",England,Pakistan,Pakistan,6 wickets,Abu Dhabi
"Nov 13, 2015",England,Pakistan,England,95 runs,Abu Dhabi
"Nov 16, 2015",U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai
"Nov 17, 2015",England,Pakistan,England,6 wickets,Sharjah
"Nov 18, 2015",U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai
"Nov 20, 2015",England,Pakistan,England,84 runs,Dubai (DSC)
"Dec 25, 2015",Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah
"Dec 26, 2015",New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch
"Dec 28, 2015",New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch
"Dec 29, 2015",Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah
"Dec 31, 2015",New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson
"Jan 2, 2016",New Zealand,Sri Lanka,no result,-,Nelson
"Jan 2, 2016",Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah
"Jan 4, 2016",Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah
"Jan 5, 2016",New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui
"Jan 6, 2016",Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah
"Jan 12, 2016",Australia,India,Australia,5 wickets,Perth
"Jan 15, 2016",Australia,India,Australia,7 wickets,Brisbane
"Jan 17, 2016",Australia,India,Australia,3 wickets,Melbourne
"Jan 20, 2016",Australia,India,Australia,25 runs,Canberra
"Jan 23, 2016",Australia,India,India,6 wickets,Sydney
"Jan 25, 2016",New Zealand,Pakistan,New Zealand,70 runs,Wellington
"Jan 26, 2016",Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok
"Jan 31, 2016",New Zealand,Pakistan,New Zealand,3 wickets,Auckland
"Feb 3, 2016",New Zealand,Australia,New Zealand,159 runs,Auckland
"Feb 3, 2016",South Africa,England,England,39 runs,Bloemfontein
"Feb 6, 2016",New Zealand,Australia,Australia,4 wickets,Wellington
"Feb 6, 2016",South Africa,England,England,5 wickets,Gqeberha
"Feb 8, 2016",New Zealand,Australia,New Zealand,55 runs,Hamilton
"Feb 9, 2016",South Africa,England,South Africa,7 wickets,Centurion
"Feb 12, 2016",South Africa,England,South Africa,1 wicket,Johannesburg
"Feb 14, 2016",South Africa,England,South Africa,5 wickets,Cape Town
"Jun 3, 2016",West Indies,South Africa,West Indies,4 wickets,Providence
"Jun 5, 2016",West Indies,Australia,Australia,6 wickets,Providence
"Jun 7, 2016",Australia,South Africa,South Africa,47 runs,Providence
"Jun 11, 2016",Zimbabwe,India,India,9 wickets,Harare
"Jun 11, 2016",Australia,South Africa,Australia,36 runs,Basseterre
"Jun 13, 2016",Zimbabwe,India,India,8 wickets,Harare
"Jun 13, 2016",West Indies,Australia,West Indies,4 wickets,Basseterre
"Jun 15, 2016",Zimbabwe,India,India,10 wickets,Harare
"Jun 15, 2016",West Indies,South Africa,South Africa,139 runs,Basseterre
"Jun 16, 2016",Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide)
"Jun 18, 2016",Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide)
"Jun 19, 2016",Australia,South Africa,no result,-,Bridgetown
"Jun 21, 2016",England,Sri Lanka,tied,-,Nottingham
"Jun 21, 2016",West Indies,Australia,Australia,6 wickets,Bridgetown
"Jun 24, 2016",England,Sri Lanka,England,10 wickets,Birmingham
"Jun 24, 2016",West Indies,South Africa,West Indies,100 runs,Bridgetown
"Jun 26, 2016",England,Sri Lanka,no result,-,Bristol
"Jun 26, 2016",West Indies,Australia,Australia,58 runs,Bridgetown
"Jun 29, 2016",England,Sri Lanka,England,6 wickets,The Oval
"Jul 2, 2016",England,Sri Lanka,England,122 runs,Cardiff
"Jul 4, 2016",Scotland,Afghanistan,no result,-,Edinburgh
"Jul 6, 2016",Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh
"Jul 12, 2016",Ireland,Afghanistan,Afghanistan,39 runs,Belfast
"Jul 14, 2016",Ireland,Afghanistan,Ireland,6 wickets,Belfast
"Jul 17, 2016",Ireland,Afghanistan,Afghanistan,79 runs,Belfast
"Jul 19, 2016",Ireland,Afghanistan,Ireland,12 runs,Belfast
"Aug 14, 2016",Scotland,U.A.E.,Scotland,98 runs,Edinburgh
"Aug 16, 2016",Scotland,U.A.E.,Scotland,7 wickets,Edinburgh
"Aug 18, 2016",Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide)
"Aug 21, 2016",Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS)
"Aug 24, 2016",Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS)
"Aug 24, 2016",England,Pakistan,England,44 runs,Southampton
"Aug 27, 2016",England,Pakistan,England,4 wickets,Lord's
"Aug 28, 2016",Sri Lanka,Australia,Australia,2 wickets,Dambulla
"Aug 30, 2016",England,Pakistan,England,169 runs,Nottingham
"Aug 31, 2016",Sri Lanka,Australia,Australia,6 wickets,Dambulla
"Sep 1, 2016",England,Pakistan,England,4 wickets,Leeds
"Sep 4, 2016",Sri Lanka,Australia,Australia,5 wickets,Pallekele
"Sep 4, 2016",England,Pakistan,Pakistan,4 wickets,Cardiff
"Sep 8, 2016",Scotland,Hong Kong,no result,-,Edinburgh
"Sep 10, 2016",Scotland,Hong Kong,Scotland,53 runs,Edinburgh
"Sep 25, 2016",South Africa,Ireland,South Africa,206 runs,Benoni
"Sep 25, 2016",Bangladesh,Afghanistan,Bangladesh,7 runs,Mirpur
"Sep 27, 2016",Australia,Ireland,Australia,9 wickets,Benoni
"Sep 28, 2016",Bangladesh,Afghanistan,Afghanistan,2 wickets,Mirpur
"Sep 30, 2016",Pakistan,West Indies,Pakistan,111 runs,Sharjah
"Sep 30, 2016",South Africa,Australia,South Africa,6 wickets,Centurion
"Oct 1, 2016",Bangladesh,Afghanistan,Bangladesh,141 runs,Mirpur
"Oct 2, 2016",South Africa,Australia,South Africa,142 runs,Johannesburg
"Oct 2, 2016",Pakistan,West Indies,Pakistan,59 runs,Sharjah
"Oct 5, 2016",Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi
"Oct 5, 2016",South Africa,Australia,South Africa,4 wickets,Durban
"Oct 7, 2016",Bangladesh,England,England,21 runs,Mirpur
"Oct 9, 2016",South Africa,Australia,South Africa,6 wickets,Gqeberha
"Oct 9, 2016",Bangladesh,England,Bangladesh,34 runs,Mirpur
"Oct 12, 2016",Bangladesh,England,England,4 wickets,Chattogram
"Oct 12, 2016",South Africa,Australia,South Africa,31 runs,Cape Town
"Oct 16, 2016",India,New Zealand,India,6 wickets,Dharamsala
"Oct 20, 2016",India,New Zealand,New Zealand,6 runs,Delhi
"Oct 23, 2016",India,New Zealand,India,7 wickets,Mohali
"Oct 26, 2016",India,New Zealand,New Zealand,19 runs,Ranchi
"Oct 29, 2016",India,New Zealand,India,190 runs,Visakhapatnam
"Nov 4, 2016",Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok
"Nov 6, 2016",Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok
"Nov 8, 2016",Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok
"Nov 14, 2016",Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare
"Nov 16, 2016",Sri Lanka,West Indies,West Indies,62 runs,Harare
"Nov 19, 2016",Zimbabwe,West Indies,tied,-,Bulawayo
"Nov 21, 2016",Zimbabwe,Sri Lanka,no result,-,Bulawayo
"Nov 23, 2016",Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo
"Nov 25, 2016",Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo
"Nov 27, 2016",Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo
"Dec 4, 2016",Australia,New Zealand,Australia,68 runs,Sydney
"Dec 6, 2016",Australia,New Zealand,Australia,116 runs,Canberra
"Dec 9, 2016",Australia,New Zealand,Australia,117 runs,Melbourne
"Dec 26, 2016",New Zealand,Bangladesh,New Zealand,77 runs,Christchurch
